corp_code,corp_name,corp_name_eng,stock_code,modify_date,stock_name,ceo_nm,corp_cls,jurir_no,bizr_no,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,acc_mt
00434003,(주)다코,Daco corporation,,20170630.0,다코,김상규,E,1615110021778.0,3128134722,충청남도 천안시 청당동 419-12,없음,,041-565-1800,041-563-6808,25931,19970611.0,12.0
00430964,굿앤엘에스주식회사,"Good & LS Co.,Ltd.",,20170630.0,굿앤엘에스,정진형,E,1101112672875.0,1048177488,서울특별시 중구 태평로2가 120,,,02-6263-8185,,64999,20021213.0,11.0
00388953,크레디피아제이십오차유동화전문회사,Credipia 25th Asset Securitization Specialty L.L.C,,20170630.0,크레디피아제이십오차유동화전문회사,배경오,E,1101140036118.0,1078608501,서울특별시 영등포구 여의도동 36-3,,,07-768-7911,784-9869,64999,20011121.0,10.0
00179984,(주)연방건설산업,youn bao,,20170630.0,연방건설산업,이연우,E,1243110015382.0,2078128613,서울특별시 광진구 중곡동,해당사항없음,,02)2201-1400,,42,19850101.0,12.0
00420143,브룩스피알아이 오토메이션 잉크,"BROOKS-PRI Automation, Inc.",,20170630.0,브룩스피알아이오토메이션잉크,Robert J. Therrien,E,,11940,서울특별시 영등포구 여의도동 34-6,,,02-3774-3442,02-3774-3433,2612,20020514.0,9.0
00401111,(주)매경아이비아이,Maekyung International Business Incubator,,20170630.0,매경아이비아이,김정실,E,1101111858533.0,2018128046,서울특별시 강남구 역삼동 702-10 아남타워 2009,www.mkibi.com,,02-3454-1530,02-3454-1535,71531,20000120.0,12.0
00435534,(주)캐드뱅크,CADBANK,,20170630.0,캐드뱅크,임장순,E,1101112170506.0,1018168113,서울특별시 종로구 숭인2동 280 진선빌딩1층,http://www.cadbank.co.kr,,02-2253-7722,02-2236-5460,5811,20020312.0,12.0
00430186,엠와이오피삼차유동화전문유한회사,MYOP III Securitization L.L.C.,,20170630.0,엠와이오피삼차유동화전문유한회사,김지홍,E,1101140040937.0,1048177246,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205.0,12.0
00430201,엠와이오피이차유동화전문유한회사,MYOP II Securitization L.L.C.,,20170630.0,엠와이오피이차유동화전문유한회사,김지홍,E,1101140040929.0,1048177232,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205.0,12.0
00430210,엠와이오피일차유동화전문유한회사,MYOP I Securitization L.L.C.,,20170630.0,엠와이오피일차유동화전문유한회사,김지홍,E,1101140040911.0,1048177227,서울특별시 중구 소공동 110 소공동한화빌딩 7층,,,02-3782-2381,02-3782-2389,64999,20021205.0,12.0
00430229,주식회사포스미디어,"Possmedia.Co.,Ltd",,20170630.0,포스미디어,김재호,E,1101112022484.0,2208192501,경기도 군포시 금정동 690-4,www.possmedia.com,,031-454-0953,031-454-0963,26,20000710.0,12.0
00140432,주식회사 축복할렐루야,"Yeun Hung Asia Co., Ltd",,20170630.0,축복할렐루야,김계화,E,1101110060139.0,1018101107,서울특별시 종로구 장사동 156-1,,,(02)2276-1881,(02)2276-0090,68112,19590829.0,12.0
00426208,한국전자화학주식회사,,,20170630.0,한국전자화학,이의륭,E,1101111080920.0,2118604987,서울특별시 강남구 논현1동 영풍빌딩,,,02-519-3671,02-549-8245,20119,19941001.0,12.0
00433262,Connacht Capital Market Investment Ltd.,Connacht Capital Market Investment Ltd.,,20170630.0,ConnachtCapitalMarketInvestmentLtd.,강병주(LG투자증권),E,,004821,"Labuan, Malaysia",,,02-768-7566,02-768-7567,64999,19960508.0,12.0
00433749,주식회사선진아이티,"Sunjin IT co.,Ltd.",,20170630.0,선진아이티,박철규,E,1601110125214.0,3148145040,대전광역시 서구 둔산동1332. 제일빌딩 3층,http://www.e-sjit.com,,042-488-0400,042-471-0046,2642,20010926.0,12.0
00433785,(주)팀스코리아,TIMS KOREA,,20170630.0,팀스코리아,김원경,E,1101112012302.0,1078186308,서울특별시 영등포구 여의도동23-7 유화증권빌딩 7층,www.timskorea.co.kr,,02-3770-1713,02-3770-1710,64999,20000702.0,3.0
00196079,(주)에넥스하이테크,"ENEXHITECH CO.,LTD",,20170630.0,에넥스하이테크,박진규,E,1542110000610.0,1148140708,서울특별시 서초구 반포동 745,,,02-511-5716,02-512-4431,23324,19890317.0,12.0
00435048,세이스텝바이스텝혼합형펀드,SEI Step by Step Balanced Fund,,20170630.0,세이스텝바이스텝혼합형펀드,권호진,E,1101112284737.0,1078602735,서울특별시 영등포구 여의도동 23-7 유화증권빌딩 16층 ,www.abrain.co.kr,,02-3770-4475,02-3770-4087,64201,20010711.0,7.0
00435057,유리알파헷지채권혼합형펀드,YurieAlphaHedgeBondBalancedFund                   ,,20170630.0,유리알파헷지채권혼합형펀드,김동각,E,1101112423749.0,1078611350,서울특별시 영등포구 여의도동 유화증권빌딩,www.abrain.co.kr,,02-3770-4097,02-3770-4087,64201,20020116.0,1.0
